
45.0,136.0,21.0,34.0,4.0,21.0,0.59,83.0,1.0
47.0,145.0,24.0,38.0,4.0,25.0,0.64,77.0,1.0
30.0,54.0,14.0,16.0,4.0,32.0,0.52,59.0,1.0
58.0,201.0,39.0,56.0,5.0,20.0,0.66,72.0,2.0
45.0,135.0,26.0,37.0,6.0,21.0,0.58,78.0,1.0
30.0,70.0,15.0,14.0,4.0,37.0,0.48,54.0,1.0
43.0,92.0,29.0,20.0,5.0,51.0,0.84,21.0,1.0
64.0,130.0,45.0,16.0,4.0,42.0,0.79,41.0,2.0
75.0,173.0,54.0,56.0,4.0,34.0,0.78,77.0,2.0
64.0,151.0,46.0,29.0,4.0,39.0,0.81,63.0,2.0
160.0,300.0,120.0,41.0,8.0,60.0,1.21,58.0,4.0
142.0,278.0,107.0,53.0,9.0,73.0,1.26,72.0,3.0
107.0,251.0,80.0,62.0,6.0,78.0,1.18,50.0,3.0
62.0,133.0,39.0,32.0,5.0,42.0,0.68,77.0,2.0
42.0,66.0,26.0,38.0,5.0,47.0,0.64,61.0,1.0
46.0,85.0,31.0,39.0,6.0,43.0,0.6,57.0,1.0
119.0,266.0,88.0,70.0,7.0,63.0,0.89,69.0,3.0
71.0,185.0,51.0,34.0,6.0,50.0,0.74,77.0,2.0
99.0,247.0,73.0,82.0,8.0,62.0,0.94,52.0,2.0
125.0,288.0,94.0,85.0,9.0,54.0,0.96,67.0,3.0
112.0,265.0,84.0,29.0,6.0,54.0,0.82,81.0,3.0
96.0,272.0,71.0,62.0,6.0,47.0,0.92,97.0,2.0
106.0,335.0,73.0,59.0,6.0,30.0,0.8,99.0,3.0
42.0,69.0,18.0,41.0,4.0,40.0,0.47,74.0,1.0
48.0,102.0,30.0,29.0,5.0,75.0,0.74,28.0,1.0
70.0,199.0,50.0,35.0,5.0,53.0,0.83,35.0,2.0
97.0,331.0,67.0,101.0,8.0,68.0,0.94,51.0,2.0
116.0,362.0,79.0,122.0,9.0,57.0,0.88,72.0,3.0
60.0,152.0,20.0,69.0,5.0,38.0,0.54,69.0,2.0
39.0,24.0,18.0,35.0,4.0,44.0,0.56,68.0,1.0
66.0,268.0,46.0,57.0,8.0,53.0,0.74,64.0,2.0
67.0,223.0,37.0,74.0,8.0,54.0,0.69,85.0,2.0
107.0,336.0,80.0,95.0,12.0,63.0,0.93,92.0,3.0
57.0,120.0,34.0,29.0,5.0,41.0,0.61,81.0,2.0
61.0,135.0,35.0,38.0,5.0,50.0,0.62,68.0,2.0
57.0,146.0,29.0,48.0,6.0,42.0,0.78,87.0,2.0
77.0,271.0,55.0,37.0,5.0,36.0,0.93,66.0,2.0
42.0,115.0,16.0,34.0,4.0,20.0,0.49,84.0,1.0
49.0,193.0,25.0,40.0,7.0,35.0,0.66,84.0,1.0
58.0,164.0,35.0,53.0,6.0,35.0,0.61,96.0,2.0
76.0,255.0,55.0,49.0,6.0,58.0,0.74,72.0,2.0
86.0,284.0,62.0,55.0,8.0,66.0,0.85,61.0,2.0
66.0,179.0,47.0,47.0,7.0,63.0,0.82,67.0,2.0
88.0,289.0,64.0,40.0,6.0,75.0,1.01,39.0,2.0
67.0,214.0,45.0,56.0,5.0,49.0,0.68,72.0,2.0
84.0,290.0,59.0,74.0,8.0,51.0,0.8,66.0,2.0
52.0,141.0,14.0,50.0,5.0,24.0,0.52,90.0,2.0
55.0,170.0,24.0,56.0,6.0,43.0,0.6,90.0,2.0
59.0,201.0,29.0,61.0,7.0,46.0,0.7,95.0,2.0
70.0,241.0,49.0,66.0,8.0,63.0,0.79,57.0,2.0
57.0,161.0,38.0,35.0,5.0,36.0,0.64,84.0,2.0
90.0,277.0,65.0,48.0,8.0,48.0,0.86,96.0,2.0
93.0,286.0,61.0,53.0,8.0,48.0,0.84,107.0,2.0
